Game_number,Pseudo,Team,Round_number,dmg,shots_hit,dmg_received,round_won,shots_fired,shots_fired_M4A1,dmg_M4A1,shots_hit_M4A1,hits_chest,hits_left_leg,death,kills,kills_M4A1,shots_fired_Knife,hits_stomach,hits_right_arm,shots_hit_USP-S,shots_fired_USP-S,shots_fired_Smoke Grenade,dmg_USP-S,shots_fired_HE Grenade,shots_hit_FAMAS,shots_hit_AK-47,dmg_AWP,kills_FAMAS,shots_fired_Glock-18,shots_fired_AK-47,kills_Desert Eagle,hits_,shots_fired_Dual Berettas,shots_fired_FAMAS,shots_hit_Desert Eagle,hits_head,dmg_Dual Berettas,dmg_FAMAS,kills_USP-S,kills_AK-47,shots_hit_AWP,shots_fired_Galil AR,shots_fired_AWP,shots_fired_Desert Eagle,dmg_Desert Eagle,dmg_HE Grenade,dmg_AK-47,shots_hit_HE Grenade,shots_hit_Dual Berettas,kills_Dual Berettas,kills_AWP,shots_fired_P90,shots_fired_XM1014,shots_hit_XM1014,dmg_XM1014,hits_right_leg,dmg_SG 553,shots_hit_SG 553,kills_SG 553,shots_fired_SG 553,ennemies flashed,shots_fired_Flashbang,hits_left_arm,shots_fired_Negev,shots_hit_Negev,kills_Negev,shots_hit_Glock-18,kills_Glock-18,dmg_Glock-18,dmg_Negev,shots_hit_MAC-10,shots_fired_MAC-10,dmg_MAC-10,shots_fired_Molotov,shots_fired_G3SG1,shots_hit_G3SG1,dmg_G3SG1,shots_fired_Nova,dmg_Nova,shots_hit_Nova,shots_fired_MP9,kills_MP9,dmg_MP9,shots_hit_MP9,kills_SCAR-20,shots_fired_Incendiary Grenade,shots_fired_SCAR-20,dmg_SCAR-20,shots_hit_SCAR-20,shots_fired_AUG,kills_AUG,dmg_AUG,shots_hit_AUG,dmg_Incendiary Grenade,shots_hit_Incendiary Grenade,shots_hit_R8 Revolver,shots_fired_R8 Revolver,dmg_R8 Revolver,shots_hit_Galil AR,shots_fired_M4A4,kills_M4A4,kills_Galil AR,shots_hit_M4A4,dmg_Galil AR,dmg_M4A4,kills_R8 Revolver,kills_XM1014,shots_fired_MP5-SD,dmg_MP5-SD,shots_hit_MP5-SD,kills_P90,dmg_P90,shots_hit_P90,dmg_MP7,shots_hit_MP7,kills_MP7,shots_fired_MP7,shots_hit_p250,kills_p250,shots_fired_p250,dmg_p250,teammates_flashed,auto_flash,dmg_Flashbang,shots_hit_Flashbang,shots_hit_P2000,dmg_P2000,shots_fired_P2000,kills_P2000,kills_MAC-10,shots_fired_SSG 08,shots_hit_SSG 08,dmg_SSG 08,dmg_Molotov,shots_hit_Molotov,kills_MP5-SD,shots_fired_Decoy Grenade,kills_World,dmg_Five-SeveN,shots_fired_Five-SeveN,shots_hit_Five-SeveN,shots_hit_CZ75 Auto,shots_fired_CZ75 Auto,dmg_CZ75 Auto,kills_CZ75 Auto,shots_fired_Zeus x27,shots_hit_Knife,dmg_Knife,kills_Knife,kills_SSG 08,kills_HE Grenade,kills_UMP-45,dmg_UMP-45,shots_hit_UMP-45,shots_fired_UMP-45,kills_Five-SeveN,shots_fired_Tec-9,kills_Incendiary Grenade,shots_fired_MAG-7,shots_hit_MAG-7,dmg_MAG-7,kills_MAG-7,dmg_PP-Bizon,shots_fired_PP-Bizon,shots_hit_PP-Bizon,kills_PP-Bizon,kills_Molotov,dmg_Tec-9,shots_hit_Tec-9,kills_Tec-9,shots_hit_Smoke Grenade,dmg_Smoke Grenade,dmg_Zeus x27,shots_hit_Zeus x27,kills_Zeus x27
2,[DB] Dante,T,3,0,0,100,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,[DB] Dante,T,1,100,3,0,1,21,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,1,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,[DB] Dante,T,2,114,4,100,1,16,0,0,0,1,1,1,1,0,0,2,0,0,0,1,0,1,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ltglenn2,CT,2,70,1,100,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ltglenn2,CT,3,142,3,0,1,7,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,4,142,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ltglenn2,CT,4,25,1,0,1,9,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ltglenn2,CT,5,119,4,0,1,14,0,0,0,1,0,0,2,0,1,0,1,0,0,1,0,1,0,4,0,0,0,10,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ltglenn2,CT,6,0,0,100,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ltglenn2,CT,7,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ltglenn2,CT,1,120,2,100,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
