Game_number,Pseudo,Team,Round_number,Type,X,Y,Z
1,Pix,CT,4,DamageInfliged_target0,1385.173096,-494.889496,-415.969116
1,Pix,CT,4,DamageReceived_target0,1762.128052,-1758.954224,-415.968964
1,Pix,CT,4,DamageReceived_origin0,174.125443,-2077.319092,-415.968750
1,Pix,CT,4,DamageInfliged_origin1,1763.211914,-1764.720825,-415.968964
1,Pix,CT,4,DamageInfliged_origin2,1763.518799,-1766.283691,-415.968964
1,Pix,CT,4,DamageInfliged_origin0,1657.333252,-1119.762939,-365.332703
1,Pix,CT,4,DamageInfliged_target1,172.663651,-2070.200684,-415.968750
1,Pix,CT,4,DamageInfliged_target2,173.683426,-2075.157959,-415.968750
1,Pix,CT,4,Death,1762.128052,-1758.954224,-415.968964
1,Pix,CT,8,DamageInfliged_target0,-107.300751,-2004.546753,-415.968750
1,Pix,CT,8,DamageReceived_target0,1817.242188,-1752.110596,-415.968994
1,Pix,CT,8,DamageReceived_origin0,66.418320,-1940.625977,-415.968750
1,Pix,CT,8,Death,1817.242188,-1752.110596,-415.968994
1,Pix,CT,8,DamageInfliged_origin0,1683.201294,-1576.014893,-407.968750
1,Pix,CT,3,DamageInfliged_target3,-115.487144,-2125.399658,-415.969971
1,Pix,CT,3,DamageInfliged_origin6,1198.299194,-2088.674072,-407.968750
1,Pix,CT,3,DamageInfliged_origin11,572.012146,-2388.559082,-415.974152
1,Pix,CT,3,DamageInfliged_target1,35.718124,-2093.706299,-415.968750
1,Pix,CT,3,Kill_0,1841.071655,-1741.831299,-415.968964
1,Pix,CT,3,DamageInfliged_target2,108.506744,-2084.231689,-415.969971
1,Pix,CT,3,DamageInfliged_origin3,1754.377930,-1974.947388,-415.968964
1,Pix,CT,3,DamageReceived_target0,1199.130737,-2087.263184,-407.968750
1,Pix,CT,3,DamageInfliged_target8,633.163025,-1740.301758,-235.814117
1,Pix,CT,3,Kill_1,1754.523315,-1976.843384,-415.968964
1,Pix,CT,3,DamageInfliged_target0,81.802528,-2101.040527,-415.968750
1,Pix,CT,3,DamageInfliged_target4,-116.354881,-2116.588379,-415.969971
1,Pix,CT,3,DamageInfliged_origin1,1841.071655,-1741.831299,-415.968964
1,Pix,CT,3,Kill_2,1200.416870,-2085.081055,-407.968750
1,Pix,CT,3,DamageInfliged_origin10,578.251099,-2389.240479,-415.974152
1,Pix,CT,3,DamageInfliged_target11,-59.495655,-2036.479004,-415.968750
1,Pix,CT,3,DamageInfliged_target9,-59.303535,-2036.151123,-415.968750
1,Pix,CT,3,DamageInfliged_origin2,1722.691162,-1818.431274,-415.968964
1,Pix,CT,3,DamageInfliged_origin4,1754.523315,-1976.843384,-415.968964
1,Pix,CT,3,DamageInfliged_target5,630.228149,-1745.189331,-233.370346
1,Pix,CT,3,DamageInfliged_target6,630.509216,-1744.589966,-233.670013
1,Pix,CT,3,DamageInfliged_target7,630.908447,-1743.937988,-233.996048
1,Pix,CT,3,DamageInfliged_origin8,1200.416870,-2085.081055,-407.968750
1,Pix,CT,3,DamageInfliged_origin9,587.499756,-2390.250488,-415.974152
1,Pix,CT,3,DamageInfliged_target10,-59.303535,-2036.151123,-415.968750
1,Pix,CT,3,DamageInfliged_origin0,1745.056274,-1565.215332,-415.968933
1,Pix,CT,3,DamageReceived_origin0,630.509216,-1744.589966,-233.670013
1,Pix,CT,3,DamageInfliged_origin5,1196.936157,-2090.906982,-407.968750
1,Pix,CT,3,DamageInfliged_origin7,1200.175049,-2085.491211,-407.968750
1,Pix,CT,3,Kill_3,572.012146,-2388.559082,-415.974152
1,Pix,CT,6,DamageReceived_target0,623.934692,-1536.129517,-415.968781
1,Pix,CT,6,DamageReceived_origin0,506.672974,-748.595337,-399.968750
1,Pix,CT,6,DamageInfliged_origin0,874.700439,-1637.704712,-415.968781
1,Pix,CT,6,DamageInfliged_target0,190.073196,-1224.159546,-415.968750
1,Pix,CT,6,Kill_0,874.700439,-1637.704712,-415.968781
1,Pix,CT,6,Death,623.934692,-1536.129517,-415.968781
1,Pix,CT,9,Kill_0,1233.087280,-483.606445,-415.969147
1,Pix,CT,9,DamageReceived_target0,918.641907,40.463409,-415.969147
1,Pix,CT,9,DamageInfliged_origin1,918.641907,40.463409,-415.969147
1,Pix,CT,9,DamageInfliged_target1,837.526306,-104.685791,-415.968750
1,Pix,CT,9,Kill_2,442.846252,-41.483479,-639.968750
1,Pix,CT,9,DamageInfliged_origin0,1233.087280,-483.606445,-415.969147
1,Pix,CT,9,DamageReceived_origin0,838.251953,-105.222389,-415.968750
1,Pix,CT,9,Kill_1,918.641907,40.463409,-415.969147
1,Pix,CT,9,DamageInfliged_origin2,442.846252,-41.483479,-639.968750
1,Pix,CT,9,DamageInfliged_target2,754.229675,-1291.048584,-768.968750
1,Pix,CT,9,DamageInfliged_target0,774.643311,698.725891,-479.968750
1,Pix,CT,12,DamageInfliged_origin0,1581.513916,-1547.429443,-407.968750
1,Pix,CT,12,DamageInfliged_target0,1581.513916,-1547.429443,-407.968750
