Game_number,Map,Pseudo,Team,Round_number,Type,Number,X,Y,Z
22,de_nuke,bL(*+*)K ^,T,4,DamageReceived_target,0,218.516937,60.546768,-415.968750
22,de_nuke,bL(*+*)K ^,T,4,DamageReceived_origin,0,1160.501709,11.018415,-415.969086
22,de_nuke,bL(*+*)K ^,T,4,Death,0,218.516937,60.546768,-415.968750
22,de_nuke,bL(*+*)K ^,T,5,DamageInfliged_targetposition,0,446.902313,-347.093842,-415.968750
22,de_nuke,bL(*+*)K ^,T,5,DamageInfliged_targetposition,1,493.691467,-758.459534,-391.968750
22,de_nuke,bL(*+*)K ^,T,5,DamageInfliged_targetposition,2,494.994659,-759.165161,-391.968750
22,de_nuke,bL(*+*)K ^,T,5,Kill,0,446.902313,-347.093842,-415.968750
22,de_nuke,bL(*+*)K ^,T,5,Death,0,495.518127,-759.432251,-391.968750
22,de_nuke,bL(*+*)K ^,T,5,DamageReceived_target,0,342.391235,-352.031250,-415.968750
22,de_nuke,bL(*+*)K ^,T,5,DamageReceived_target,1,478.804169,-746.650513,-407.504395
22,de_nuke,bL(*+*)K ^,T,5,DamageReceived_target,2,492.800110,-757.906494,-391.968750
22,de_nuke,bL(*+*)K ^,T,5,DamageReceived_target,3,495.518127,-759.432251,-391.968750
22,de_nuke,bL(*+*)K ^,T,5,DamageReceived_origin,0,1114.057007,-394.509491,-127.968750
22,de_nuke,bL(*+*)K ^,T,5,DamageReceived_origin,1,274.855682,-1101.007935,-392.725342
22,de_nuke,bL(*+*)K ^,T,5,DamageReceived_origin,2,319.568054,-1109.750732,-391.968750
22,de_nuke,bL(*+*)K ^,T,5,DamageReceived_origin,3,319.568054,-1109.750732,-391.968750
22,de_nuke,bL(*+*)K ^,T,5,DamageInfliged,0,446.902313,-347.093842,-415.968750
22,de_nuke,bL(*+*)K ^,T,5,DamageInfliged,1,493.691467,-758.459534,-391.968750
22,de_nuke,bL(*+*)K ^,T,5,DamageInfliged,2,494.994659,-759.165161,-391.968750
22,de_nuke,bL(*+*)K ^,T,6,DamageInfliged,0,1467.829346,-2447.968750,-517.182007
22,de_nuke,bL(*+*)K ^,T,6,DamageInfliged,1,1463.771362,-2447.968750,-514.476746
22,de_nuke,bL(*+*)K ^,T,6,DamageInfliged,2,1463.554077,-2447.968750,-514.331848
22,de_nuke,bL(*+*)K ^,T,6,DamageInfliged,3,1463.554077,-2447.968750,-514.331848
22,de_nuke,bL(*+*)K ^,T,6,DamageInfliged,4,1209.866821,-2443.314209,-415.968903
22,de_nuke,bL(*+*)K ^,T,6,DamageInfliged_targetposition,0,1467.829346,-2447.968750,-517.182007
22,de_nuke,bL(*+*)K ^,T,6,DamageInfliged_targetposition,1,1463.771362,-2447.968750,-514.476746
22,de_nuke,bL(*+*)K ^,T,6,DamageInfliged_targetposition,2,1463.554077,-2447.968750,-514.331848
22,de_nuke,bL(*+*)K ^,T,6,DamageInfliged_targetposition,3,1463.554077,-2447.968750,-514.331848
22,de_nuke,bL(*+*)K ^,T,6,DamageInfliged_targetposition,4,1209.866821,-2443.314209,-415.968903
22,de_nuke,bL(*+*)K ^,T,6,Kill,0,1463.554077,-2447.968750,-514.331848
22,de_nuke,bL(*+*)K ^,T,6,Kill,1,1209.866821,-2443.314209,-415.968903
