Game_number,Round_number,Team,dmg,Pseudo
5,1,T,0,⭐️⭐️BOT CompaQ⭐️⭐
7,1,CT,33,Pix
7,1,T,60,Dzerteur
6,1,T,0,lovro
7,1,T,0,"Boris""Nemlow""V"
7,1,CT,1,Daredevil
6,1,CT,74,"L'ahuri, bière en main"
7,1,CT,67,AHOUUU WAOUF WAOUF
6,1,CT,0,сегодня отдыхаю
7,1,T,42,֍Puri֍
7,1,CT,261,Гном
7,1,T,0,Seb✪Z
6,1,T,200,mihac
7,1,CT,138,Midgar_7
7,1,T,0,GuiiZ#
6,1,CT,137,Daredevil
8,1,CT,48,qLethal
6,1,T,101,janjebemajke
4,1,T,69,-ScofieLd
4,1,T,76,LaMasse
6,1,T,88,KreizySofric
1,1,CT,141,Pix
1,1,CT,164,Montanelas ( ͡° ͜ʖ ͡
1,1,T,100,ARRRRRRRRR
9,1,CT,108,LaMasse
9,1,T,100,Jol1y
1,1,CT,0,MAREGA
4,1,CT,100,DoNeVu
4,1,CT,118,Alexa_ae | sex haver
4,1,CT,89,JsN
9,1,T,1,先輩SӘɳρaϊ先輩
4,1,T,84,Marco_0ne
4,1,CT,11,djem
6,1,T,84,jure
4,1,CT,200,Skynet.tns
6,1,CT,5,Pix
4,1,T,71,Ulicni_hodac
4,1,T,100,Pix
8,1,CT,220,OldManTouchy
8,1,CT,95,Ichigo Kurosaki
6,1,CT,54,LaMasse
8,1,CT,53,Luci
19,1,CT,0,puckoshark
15,1,T,0,GlamourX
15,1,CT,300,𝕄𝕠𝕤𝕖𝕤
2,1,T,265,АЪЪА
19,1,T,0,AllAbS
19,1,T,23,LaMasse
2,1,T,1,Beetlejuice
2,1,T,63,LaMasse
14,1,T,0,*illi*
2,1,CT,40,kiko
2,1,T,63,KONDZIU
14,1,CT,151,Daredevil
2,1,CT,112,Silverino
14,1,T,0,RushHard F.
14,1,T,220,sv_aim_1
2,1,CT,199,блеберт
2,1,CT,0,broski
15,1,CT,1,nerushimav
1,1,T,0,Dr. Carry
15,1,CT,95,Pix
15,1,CT,104,LaMasse
19,1,CT,40,L e G e n D a
8,1,T,23,⭕⃤GerarHB9☁
8,1,T,0,Midgar_7
19,1,T,0,STOP亗 -TAISM-
8,1,T,137,2kilo ziemniakow
8,1,CT,0,Elfo
19,1,CT,460,sMiley
8,1,T,115,LaMasse
8,1,T,176,Pix
15,1,CT,0,Mr . Vik
19,1,CT,0,Norish
15,1,T,83,Miś Kolaborant
19,1,CT,0,simoN
15,1,T,0,Ereaway
15,1,T,0,Kerberos
19,1,T,26,hcaktuna
15,1,T,0,Banita.exe
19,1,T,69,AlexWolf
14,1,T,0,SKILL_IST LOST( f1 )
9,1,T,79,huskies
1,1,T,0,HardChiller
10,1,T,100,Dan
0,1,T,100,Super Kobe
10,1,CT,0,Daredevil
10,1,CT,0,diki
0,1,CT,184,LaMasse
12,1,T,191,ICE MAKER
12,1,T,0,PenisBrno
10,1,CT,120,ltglenn2
0,1,T,231,Super linda
0,1,T,0,Super gayzolas
12,1,CT,0,zadymka
12,1,CT,3,COÑITO 2.0
0,1,T,169,MooN
12,1,CT,34,LaMasse
11,1,T,169,ィ科Toxic Ghoul科ィ
11,1,T,100,LaMasse
12,1,T,100,Old Vack
10,1,T,100,[DB] Dante
0,1,CT,19,TACOS
10,1,CT,37,Pix
16,1,T,245,TZANCA URAGANU
16,1,T,151,Pix
16,1,T,15,LaMasse
16,1,CT,300,vikingar
16,1,T,57,Daredevil
16,1,CT,0,Yukichi Tsumura
16,1,CT,0,999
16,1,CT,98,sağ elimde falçata solda 70lik
0,1,CT,79,Pix
16,1,CT,68,xfl0ud
10,1,CT,38,LaMasse
0,1,CT,0,SibirskiPlavac
0,1,CT,115,ARRRRRRRRR
10,1,T,81,AIR
10,1,T,134,1rs1n
10,1,T,85,Knur ;3
0,1,T,0,Super Mongo
12,1,T,209,GUGUŚ
12,1,CT,3,Daredevil
11,1,CT,0,✪ Betchy
11,1,CT,200,xNexT9
18,1,CT,0,bytaN
9,1,T,90,АНТОН ЮРЬЕВИЧ
18,1,T,7,LaMasse
18,1,CT,137,Real1zm
18,1,T,0,_lincoln_
18,1,T,0,⭐️⭐️BOT CompaQ⭐️⭐
9,1,T,0,Влад Яровой
18,1,CT,42,Timororis
18,1,T,51,⭐️⭐️CompaQ⭐️⭐
18,1,CT,0,.trnX
18,1,T,49,_Sábio_
9,1,CT,0,Pix
18,1,CT,321,Tyreu
1,1,CT,113,TACOS
9,1,CT,236,Daredevil
1,1,T,0,Tomkos
1,1,CT,82,LaMasse
18,1,T,221,Pix
1,1,T,0,D22
17,1,T,69,-ScofieLd
17,1,CT,89,JsN
12,1,CT,0,᠌proland
11,1,T,83,ferwbal
12,1,T,0,g1mple
11,1,CT,52,Jennykla
17,1,CT,200,Skynet.tns
11,1,T,20,Lapland
17,1,T,76,LaMasse
11,1,CT,148,Xantho
17,1,T,84,Marco_0ne
11,1,T,30,Daredevil
11,1,CT,100,Battledrone
17,1,CT,11,djem
17,1,T,71,Ulicni_hodac
17,1,T,100,Pix
9,1,CT,29,Anime на аве
17,1,CT,100,DoNeVu
17,1,CT,118,Alexa_ae | sex haver
9,1,CT,123,99 problems
2,1,CT,146,Folcatus
16,1,T,77,xlw
5,1,CT,0,.trnX
13,1,CT,0,siemka
3,1,CT,5,Pix
3,1,T,0,Golden Patrone
14,1,T,12,sexy eis mit sahne
3,1,T,200,cocaine shawty
5,1,T,49,_Sábio_
13,1,T,100,LaMasse
14,1,CT,0,Pix
13,1,T,100,Эрик Болт
13,1,T,0,Pix
3,1,CT,119,Midgar_7
5,1,T,0,_lincoln_
13,1,CT,0,Po 4:20
3,1,T,0,Bing Chilling
3,1,CT,100,Squirt for me?
5,1,CT,137,Real1zm
13,1,CT,16,beer
5,1,CT,42,Timororis
5,1,CT,0,bytaN
13,1,T,200,соли_спайсы
14,1,CT,150,Heli[ver]
3,1,T,0,LE C
5,1,T,51,⭐️⭐️CompaQ⭐️⭐
2,1,T,101,ЭТОТ ЮРЕЦ
5,1,T,7,LaMasse
5,1,T,221,Pix
14,1,CT,0,alvarostia24
14,1,CT,199,LaMasse
5,1,CT,321,Tyreu
13,1,T,100,ОлЕГх
13,1,CT,0,Neisonas
3,1,T,0,fatument
3,1,CT,100,LaMasse
13,1,CT,84,NO-trade
3,1,CT,176,TACOS
1,2,T,0,Dr. Carry
1,2,T,0,D22
13,2,T,0,Pix
1,2,CT,0,Pix
6,2,CT,49,Daredevil
1,2,CT,100,Montanelas ( ͡° ͜ʖ ͡
1,2,T,143,HardChiller
1,2,T,92,ARRRRRRRRR
7,2,T,0,GuiiZ#
3,2,CT,0,Squirt for me?
1,2,CT,28,LaMasse
1,2,T,100,Tomkos
7,2,CT,156,Daredevil
8,2,CT,100,qLethal
3,2,CT,0,Midgar_7
1,2,CT,100,TACOS
5,2,CT,54,Timororis
18,2,CT,0,Tyreu
9,2,CT,254,Pix
18,2,T,22,_Sábio_
8,2,CT,77,OldManTouchy
18,2,CT,80,.trnX
13,2,CT,136,beer
14,2,CT,189,alvarostia24
18,2,CT,54,Timororis
6,2,CT,15,LaMasse
9,2,T,63,Влад Яровой
9,2,CT,0,Daredevil
9,2,CT,28,LaMasse
3,2,T,142,fatument
3,2,CT,0,TACOS
4,2,T,52,Pix
16,2,T,292,xlw
6,2,T,27,KreizySofric
13,2,CT,99,NO-trade
7,2,T,0,֍Puri֍
4,2,T,30,-ScofieLd
4,2,T,100,Ulicni_hodac
7,2,CT,137,AHOUUU WAOUF WAOUF
7,2,CT,24,Pix
7,2,T,50,Dzerteur
3,2,CT,66,Pix
6,2,CT,113,"L'ahuri, bière en main"
7,2,T,193,"Boris""Nemlow""V"
6,2,T,221,lovro
6,2,CT,87,сегодня отдыхаю
13,2,T,35,LaMasse
6,2,CT,0,Pix
4,2,CT,174,Skynet.tns
1,2,CT,272,MAREGA
7,2,CT,116,Midgar_7
4,2,CT,146,DoNeVu
9,2,T,202,先輩SӘɳρaϊ先輩
4,2,CT,113,Alexa_ae | sex haver
4,2,CT,87,JsN
4,2,T,4,Marco_0ne
6,2,T,47,jure
7,2,T,115,Seb✪Z
3,2,T,13,Golden Patrone
6,2,T,170,mihac
4,2,CT,0,djem
7,2,CT,67,Гном
18,2,T,100,⭐️⭐️BOT CompaQ⭐️⭐
6,2,T,35,janjebemajke
9,2,T,28,Jol1y
9,2,T,21,huskies
17,2,T,30,-ScofieLd
5,2,T,131,Pix
10,2,CT,32,Pix
0,2,CT,164,TACOS
5,2,T,100,LaMasse
10,2,T,114,[DB] Dante
10,2,CT,70,ltglenn2
0,2,T,100,Super Kobe
10,2,T,76,Dan
10,2,CT,16,Daredevil
10,2,CT,100,diki
0,2,CT,158,LaMasse
13,2,CT,92,siemka
12,2,T,74,ICE MAKER
12,2,T,95,PenisBrno
0,2,T,0,Super linda
5,2,T,22,_Sábio_
12,2,T,126,Old Vack
12,2,CT,96,zadymka
13,2,CT,72,Neisonas
0,2,T,84,Super gayzolas
0,2,T,200,Super Mongo
10,2,T,100,1rs1n
16,2,T,85,TZANCA URAGANU
16,2,T,79,Pix
16,2,T,44,LaMasse
13,2,T,25,ОлЕГх
16,2,CT,0,vikingar
16,2,T,0,Daredevil
16,2,CT,184,Yukichi Tsumura
16,2,CT,0,999
5,2,T,100,⭐️⭐️BOT CompaQ⭐️⭐
16,2,CT,0,sağ elimde falçata solda 70lik
0,2,CT,0,Pix
16,2,CT,25,xfl0ud
5,2,CT,0,Tyreu
10,2,CT,19,LaMasse
0,2,CT,126,SibirskiPlavac
0,2,CT,0,ARRRRRRRRR
10,2,T,142,AIR
10,2,T,58,Knur ;3
18,2,T,147,_lincoln_
12,2,CT,77,COÑITO 2.0
12,2,CT,211,LaMasse
11,2,CT,87,Battledrone
17,2,CT,0,djem
17,2,T,100,Ulicni_hodac
9,2,CT,59,Anime на аве
17,2,T,52,Pix
17,2,CT,146,DoNeVu
5,2,CT,55,bytaN
17,2,CT,113,Alexa_ae | sex haver
17,2,CT,87,JsN
9,2,CT,159,99 problems
13,2,T,81,соли_спайсы
8,2,CT,23,Ichigo Kurosaki
18,2,T,131,Pix
9,2,T,0,АНТОН ЮРЬЕВИЧ
18,2,CT,55,bytaN
18,2,T,100,LaMasse
18,2,CT,65,Real1zm
17,2,T,4,Marco_0ne
0,2,T,0,MooN
13,2,CT,100,Po 4:20
5,2,CT,65,Real1zm
11,2,T,0,ィ科Toxic Ghoul科ィ
13,2,T,100,Эрик Болт
12,2,T,0,GUGUŚ
11,2,T,149,LaMasse
11,2,CT,0,✪ Betchy
5,2,CT,80,.trnX
12,2,CT,84,Daredevil
11,2,CT,107,xNexT9
12,2,CT,15,᠌proland
11,2,T,15,ferwbal
5,2,T,147,_lincoln_
12,2,T,205,g1mple
11,2,CT,181,Jennykla
17,2,CT,174,Skynet.tns
11,2,T,50,Lapland
17,2,T,144,LaMasse
11,2,CT,103,Xantho
11,2,T,86,Daredevil
8,2,CT,100,Luci
4,2,T,144,LaMasse
15,2,CT,71,nerushimav
19,2,T,0,LaMasse
19,2,CT,100,puckoshark
8,2,CT,200,Elfo
15,2,T,88,Miś Kolaborant
15,2,T,0,Banita.exe
8,2,T,178,LaMasse
19,2,T,0,STOP亗 -TAISM-
19,2,CT,92,simoN
19,2,T,11,hcaktuna
15,2,T,12,Kerberos
2,2,CT,1,broski
2,2,T,73,LaMasse
2,2,T,127,KONDZIU
2,2,CT,0,kiko
19,2,T,133,AllAbS
2,2,CT,48,блеберт
3,2,T,0,cocaine shawty
8,2,T,46,2kilo ziemniakow
14,2,T,0,*illi*
2,2,T,100,ЭТОТ ЮРЕЦ
15,2,T,100,Ereaway
14,2,T,26,sv_aim_1
19,2,CT,100,sMiley
19,2,T,0,AlexWolf
2,2,T,200,АЪЪА
15,2,CT,128,𝕄𝕠𝕤𝕖𝕤
3,2,T,87,Bing Chilling
15,2,T,300,GlamourX
14,2,T,103,RushHard F.
15,2,CT,0,Mr . Vik
19,2,CT,200,Norish
14,2,CT,63,Heli[ver]
15,2,CT,45,LaMasse
3,2,T,258,LE C
14,2,CT,199,Pix
15,2,CT,78,Pix
19,2,CT,0,L e G e n D a
14,2,CT,37,Daredevil
2,2,CT,22,Silverino
8,2,T,93,Midgar_7
2,2,T,0,Beetlejuice
3,2,CT,231,LaMasse
8,2,T,0,⭕⃤GerarHB9☁
2,2,CT,139,Folcatus
14,2,CT,100,LaMasse
14,2,T,0,sexy eis mit sahne
8,2,T,167,Pix
14,2,T,51,SKILL_IST LOST( f1 )
3,3,CT,233,Midgar_7
0,3,T,100,Super linda
9,3,T,54,先輩SӘɳρaϊ先輩
14,3,CT,0,Pix
1,3,CT,148,Pix
5,3,T,100,_Sábio_
19,3,CT,94,simoN
11,3,CT,236,Jennykla
14,3,T,2,*illi*
4,3,CT,263,JsN
12,3,T,99,Old Vack
10,3,CT,0,diki
2,3,T,23,KONDZIU
4,3,T,0,Marco_0ne
12,3,T,200,ICE MAKER
1,3,CT,61,MAREGA
1,3,CT,0,Montanelas ( ͡° ͜ʖ ͡
17,3,CT,100,Skynet.tns
9,3,T,0,Jol1y
9,3,CT,100,LaMasse
18,3,T,148,Pix
10,3,CT,92,Daredevil
15,3,T,109,Miś Kolaborant
15,3,CT,0,Mr . Vik
13,3,T,100,соли_спайсы
