Game_number,Pseudo,Team,Round_number,Type,Number,X,Y,Z
5,bytaN,CT,3,DamageReceived_target,0,536.738403,-683.357605,-399.968781
5,bytaN,CT,3,DamageReceived_target,1,538.893066,-691.563049,-399.968781
5,bytaN,CT,3,DamageReceived_target,2,539.688293,-693.156250,-399.968781
5,bytaN,CT,3,DamageReceived_target,3,543.610107,-699.496399,-399.968781
5,bytaN,CT,3,DamageReceived_origin,0,685.885437,-1618.517822,-415.968781
5,bytaN,CT,3,DamageReceived_origin,1,679.418457,-1606.659180,-415.968781
5,bytaN,CT,3,DamageReceived_origin,2,685.104919,-1457.888184,-415.969513
5,bytaN,CT,3,DamageReceived_origin,3,677.949463,-1456.175049,-415.969513
5,bytaN,CT,3,Death,0,543.610107,-699.496399,-399.968781
5,bytaN,CT,3,DamageInfliged,0,527.088928,-680.077454,-399.968781
5,bytaN,CT,3,DamageInfliged,1,524.530640,-670.535034,-399.968781
5,bytaN,CT,3,DamageInfliged,2,527.803528,-666.566528,-399.968781
5,bytaN,CT,3,DamageInfliged,3,530.708923,-667.977356,-399.968781
5,bytaN,CT,3,DamageInfliged,4,528.434814,-665.918762,-399.968781
5,bytaN,CT,3,DamageInfliged_targetposition,0,527.088928,-680.077454,-399.968781
5,bytaN,CT,3,DamageInfliged_targetposition,1,524.530640,-670.535034,-399.968781
5,bytaN,CT,3,DamageInfliged_targetposition,2,527.803528,-666.566528,-399.968781
5,bytaN,CT,3,DamageInfliged_targetposition,3,530.708923,-667.977356,-399.968781
5,bytaN,CT,3,DamageInfliged_targetposition,4,528.434814,-665.918762,-399.968781
5,bytaN,CT,3,Kill,0,528.434814,-665.918762,-399.968781
5,bytaN,CT,4,DamageInfliged_targetposition,0,634.206970,-2376.296631,-416.114380
5,bytaN,CT,4,DamageReceived_target,0,774.491211,-2431.369385,-416.030548
5,bytaN,CT,4,DamageReceived_target,1,768.720276,-2431.448242,-416.021454
5,bytaN,CT,4,DamageReceived_target,2,767.677063,-2431.388184,-416.021454
5,bytaN,CT,4,DamageReceived_target,3,773.044128,-2432.718018,-416.021454
5,bytaN,CT,4,DamageReceived_origin,0,863.458618,-2047.382568,-415.968872
5,bytaN,CT,4,DamageReceived_origin,1,863.167175,-2048.169922,-415.968872
5,bytaN,CT,4,DamageReceived_origin,2,863.167175,-2048.169922,-415.968872
5,bytaN,CT,4,DamageReceived_origin,3,863.167175,-2048.169922,-415.968872
5,bytaN,CT,4,Death,0,773.044128,-2432.718018,-416.021454
5,bytaN,CT,4,DamageInfliged,0,634.206970,-2376.296631,-416.114380
5,bytaN,CT,5,DamageInfliged,0,437.035767,-1044.115723,-255.968750
5,bytaN,CT,5,DamageInfliged,1,425.077881,-1051.866821,-255.968750
5,bytaN,CT,5,DamageInfliged,2,407.497345,-1081.505737,-255.968750
5,bytaN,CT,5,DamageInfliged,3,416.712341,-1014.863708,-255.968750
5,bytaN,CT,5,DamageInfliged,4,368.914032,-1181.941528,-250.968750
5,bytaN,CT,5,DamageInfliged_targetposition,0,437.035767,-1044.115723,-255.968750
