Game_number,Round_number,Team,dmg,Pseudo,damage_team,damage_ennemy_team,dmg_received,ennemies_flashed,shots_fired,shots_hit,hits_head,kills
0,1,CT,115,ARRRRRRRRR,397,500,100,0,29,3,1,1
16,1,CT,0,Yukichi Tsumura,466,545,100,0,1,0,0,0
16,1,CT,98,sağ elimde falçata solda 70lik,466,545,145,0,26,6,0,1
16,1,CT,300,vikingar,466,545,100,4,50,14,2,3
16,1,CT,68,xfl0ud,466,545,100,0,16,1,1,0
16,1,T,77,xlw,545,466,100,0,3,2,0,1
17,1,T,69,-ScofieLd,400,518,100,0,19,4,1,2
17,1,CT,118,Alexa_ae | sex haver,518,400,100,0,11,5,1,1
17,1,CT,100,DoNeVu,518,400,100,0,30,5,0,1
17,1,CT,89,JsN,518,400,100,0,32,7,0,0
17,1,T,76,LaMasse,400,518,100,0,57,6,0,1
17,1,T,84,Marco_0ne,400,518,118,2,11,3,0,0
17,1,T,100,Pix,400,518,100,0,6,2,1,1
17,1,CT,200,Skynet.tns,518,400,31,0,14,8,0,2
17,1,T,71,Ulicni_hodac,400,518,100,0,22,5,0,0
17,1,CT,11,djem,518,400,100,0,9,1,0,1
18,1,CT,0,.trnX,500,328,100,0,2,0,0,0
18,1,T,7,LaMasse,328,500,100,0,23,1,0,0
18,1,T,221,Pix,328,500,100,0,32,9,0,2
18,1,CT,137,Real1zm,500,328,100,0,2,2,0,0
18,1,CT,42,Timororis,500,328,28,0,5,2,2,2
18,1,CT,321,Tyreu,500,328,100,0,29,10,3,3
18,1,T,49,_Sábio_,328,500,100,0,8,2,1,1
18,1,T,0,_lincoln_,328,500,100,0,0,0,0,0
18,1,CT,0,bytaN,500,328,0,0,24,0,0,0
18,1,T,0,⭐️⭐️BOT CompaQ⭐️⭐,328,500,0,0,0,0,0,0
18,1,T,51,⭐️⭐️CompaQ⭐️⭐,0,0,100,0,4,1,0,0
19,1,T,69,AlexWolf,118,500,100,0,8,1,0,0
19,1,T,0,AllAbS,118,500,100,0,2,0,0,0
19,1,CT,40,L e G e n D a,500,118,95,0,39,2,0,0
16,1,T,245,TZANCA URAGANU,545,466,68,0,10,11,0,2
19,1,CT,0,Norish,500,118,0,0,7,0,0,0
16,1,T,151,Pix,545,466,100,0,43,8,0,2
16,1,T,57,Daredevil,545,466,100,0,10,3,0,0
13,1,CT,0,Neisonas,100,500,100,0,3,0,0,0
13,1,T,0,Pix,500,100,5,0,5,0,0,0
13,1,CT,0,Po 4:20,100,500,100,0,3,0,0,0
13,1,CT,16,beer,100,500,100,0,3,1,0,0
13,1,CT,0,siemka,100,500,100,0,0,0,0,0
13,1,T,100,ОлЕГх,500,100,0,0,13,3,0,1
13,1,T,100,Эрик Болт,500,100,100,0,14,4,0,1
13,1,T,200,соли_спайсы,500,100,0,6,18,2,2,2
14,1,T,0,*illi*,232,500,100,0,2,0,0,0
14,1,CT,151,Daredevil,500,232,100,0,22,9,0,1
14,1,CT,150,Heli[ver],500,232,53,0,14,5,0,2
14,1,CT,199,LaMasse,500,232,96,5,47,11,0,2
14,1,CT,0,Pix,500,232,0,0,4,0,0,0
14,1,T,0,RushHard F.,232,500,100,0,7,0,0,0
14,1,T,0,SKILL_IST LOST( f1 ),232,500,100,0,5,0,0,0
14,1,CT,0,alvarostia24,500,232,0,0,31,0,0,0
14,1,T,12,sexy eis mit sahne,232,500,100,0,5,1,0,0
14,1,T,220,sv_aim_1,232,500,100,0,29,11,2,1
15,1,T,0,Banita.exe,83,500,100,0,7,0,0,0
15,1,T,0,Ereaway,83,500,100,0,11,0,0,0
15,1,T,0,GlamourX,83,500,100,0,3,0,0,0
15,1,T,0,Kerberos,83,500,100,0,21,0,0,0
15,1,CT,104,LaMasse,500,83,40,0,43,3,0,0
15,1,T,83,Miś Kolaborant,83,500,100,0,16,4,0,0
15,1,CT,0,Mr . Vik,500,83,0,0,2,0,0,0
15,1,CT,95,Pix,500,83,22,0,37,5,1,2
15,1,CT,1,nerushimav,500,83,21,0,6,1,0,0
15,1,CT,300,𝕄𝕠𝕤𝕖𝕤,500,83,0,0,12,4,3,3
16,1,CT,0,999,466,545,100,0,2,0,0,0
16,1,T,15,LaMasse,545,466,100,1,6,1,0,0
13,1,CT,84,NO-trade,100,500,100,0,22,6,0,1
19,1,T,0,STOP亗 -TAISM-,0,0,100,0,10,0,0,0
19,1,CT,0,puckoshark,500,118,0,0,25,0,0,0
23,1,CT,300,ARTO..,321,500,100,0,20,7,2,3
23,1,CT,0,Counterinski,321,500,100,0,0,0,0,0
23,1,CT,0,FuN,321,500,100,0,0,0,0,0
23,1,T,148,LaMasse,500,321,100,0,29,5,3,2
23,1,CT,0,Myšák,321,500,100,0,8,0,0,0
23,1,T,157,Peppy,500,321,100,3,29,5,1,2
23,1,T,0,lil jeep,500,321,0,1,2,0,0,0
23,1,CT,21,szilopapa,321,500,100,0,19,1,0,0
23,1,T,195,ӾӾӾ,500,321,21,0,25,7,0,1
24,1,T,177,CrossFitJannE,336,511,111,0,12,4,0,1
24,1,CT,119,KubeQ,511,336,44,0,38,7,0,1
24,1,T,43,LaMasse,336,511,100,0,19,5,0,0
24,1,T,0,Linus,336,511,100,0,4,0,0,0
24,1,T,9,Meikä poika,336,511,100,0,15,1,0,1
24,1,CT,124,Pingwinator,511,336,0,0,33,6,1,3
24,1,T,107,Pix,336,511,100,0,33,5,0,0
24,1,CT,157,cutie,511,336,92,1,7,2,0,0
24,1,CT,75,is that a supra?,511,336,100,0,2,5,2,0
24,1,CT,36,ok hand,511,336,100,0,3,2,1,1
25,1,CT,0,LaMasse,415,482,100,0,1,0,0,0
25,1,T,74,ONE,482,415,100,0,17,4,0,1
25,1,T,137,PLUXURY SPORT <3,482,415,0,0,22,5,0,2
25,1,CT,124,Paddy Cooper,415,482,100,5,20,4,0,0
25,1,T,145,Robert,482,415,96,0,26,4,1,1
25,1,T,100,Sirius Black,482,415,100,0,18,4,0,1
25,1,CT,221,WoRlD,415,482,100,0,24,10,1,2
25,1,CT,0,mohammed alhaboobi,415,482,100,0,6,0,0,0
25,1,T,26,sh1zey,482,415,149,0,9,1,0,0
25,1,CT,70,☜☆☞ ddie ☜☆☞,415,482,100,0,7,2,1,1
23,1,T,0,911-,500,321,100,0,4,0,0,0
19,1,T,26,hcaktuna,118,500,100,0,8,1,0,0
22,1,T,0,sk0rp,100,461,100,0,7,0,0,0
22,1,T,0,bL(*+*)K ^,100,461,100,0,8,0,0,0
19,1,CT,460,sMiley,500,118,23,0,90,20,2,5
19,1,CT,0,simoN,500,118,0,0,29,0,0,0
20,1,T,94,CiufyX*,400,344,52,0,14,4,0,2
20,1,T,49,ElegyEllem,400,344,60,0,33,2,0,0
20,1,T,69,Eusebio Sausage,400,344,100,0,10,3,0,0
20,1,T,23,LaMasse,400,344,100,0,12,2,0,0
20,1,CT,115,RASTADANIK,344,400,100,0,33,8,0,1
20,1,CT,96,cлучайно,344,400,100,0,17,4,0,0
20,1,CT,0,gbba,344,400,0,0,0,0,0,0
20,1,T,165,husky,400,344,32,0,36,8,1,2
20,1,CT,0,k1bu,344,400,100,1,17,0,0,0
